id	titlescore	titlestd
114n30	12.2592592593	26.9603173305
114te3	15.7058823529	14.7519279134
114val	73.4077669903	186.043132951
114xui	40	26.1661358757
1150qy	115.529411765	355.662698378
1150yh	236.076923077	223.495641513
1157j3	76.8	88.5920989705
1157tj	2.6666666667	1.2472191289
1158cu	36.1363636364	122.980891145
115fe6	189.529411765	546.122170952
115jz7	441.6	402.113416837
115rom	525.747474747	364.173350426
116ize	210.706976744	449.111741104
116l2k	128.75	128.421912071
116w7t	359.420718816	680.56053765
116yme	97.7862903226	255.931140511
116z5v	96.8571428571	279.856304236
11704f	33.3958333333	95.8976754114
1175ep	140.336	406.354031731
1175wq	2	0
1177ir	334.7625	530.539566002
1179ll	547.98019802	612.814897516
117d68	39.5948275862	186.738706368
117emj	null	null
117jth	206.443008226	622.370121974
117n94	259.196078431	446.679427076
117vv3	null	null
117zba	40.8074534161	140.255999995
117zpa	986.714285714	1119.9257264
118ecb	75.1233689205	332.368600085
118gif	205.428571429	265.597631843
118vsn	153.5	391.880023352
118vty	55.4141414141	155.76361332
118zvs	362	0
1190rv	209.795918367	394.001397469
1190s9	178.053333333	343.189428483
11920l	5.25	9.0242728239
119c2v	9.8888888889	10.3542202286
119i6m	317.6	181.566076127
119n3q	272.466101695	335.274101933
119xqv	85.4916666667	227.432398228
11aj3s	268.555555556	396.910530392
11ar18	112.765100671	362.880966474
11av3j	62.6536585366	234.787069176
11avyk	15	5.7154760665
11aygs	398.382352941	463.680243823
11aysf	156.333333333	183.851993613
11b0xz	92.4431818182	313.840899833
11b3hp	283.888888889	466.994514468
11b4j8	389.761750405	655.652937673
11b5s4	65	0
11b6kf	null	null
11b9rz	358.4	233.814114202
11ba3t	41.9423076923	74.5941360506
11bf3y	240.100529101	316.322261251
11bk7v	376.416666667	630.056618928
11bn6s	281.536585366	448.372400619
11bond	322.162162162	553.084252099
11bp4f	268.761904762	491.130659054
11c3rs	108.743654822	324.924111051
11c8l2	46	0
11cdzx	374.8	240.758302038
11ceyw	204.769230769	448.097886601
11cfsz	86.3986636971	276.732806091
11coj6	372.705882353	386.024269994
11cx1a	63.0649350649	157.229036152
11d2qz	59.2071960298	291.469257448
11d3q1	60	0
11d3zv	25.9538461538	111.173659134
11d5va	324.102803738	709.958820506
11d7uv	93.2370486656	234.082822915
11dcd4	119.307692308	241.672739501
11ddls	106.290322581	411.390732841
11df9s	336.101010101	426.884520494
11djqc	45.7535211268	184.286296963
11dkfx	47.6726190476	87.0952883357
11dkod	174.034482759	292.076924534
11e8h2	290.119047619	290.278399678
