id	titlescore	titlestd		id	titlescore	titlestd
1qu7az	2.3333333333	0.4714045208		1rlxnj	83.3333333333	273.821988674
1r1028	2.3333333333	1.3743685419		1r7r7k	398.942687747	780.241838634
1r2kqn	2.3333333333	1.1055415968		1rq9cg	null	null
1rfd8w	2.3333333333	1.8856180832		1jfetc	464.769503546	580.843163173
1rluu4	2.3333333333	0.9428090416		1rhtzr	66.58	163.106172783
1rn3pg	2.3333333333	1.2472191289		1rahn2	319.5	450.266587701
1ro59v	2.3333333333	0.9428090416		1r034d	416.145631068	667.531927279
1rfn6g	2.347826087	1.4628351166		1px31u	388.352040816	443.152175395
1rjne3	2.3636363636	1.2264306876		yt57o	87.8142857143	307.612367059
1rcchm	2.375	1.2183492931		1rhlbf	382.020895522	691.443497338
1rgtek	2.375	1.7275343701		1ren14	189.789830508	398.087555183
1rjrnq	2.3888888889	1.5325682471		1r70ia	132.515021459	311.597766727
1rq38w	2.4	1.4966629547		1qp3n8	273.797829037	369.128808376
1rqlgt	2.4285714286	1.3997084245		1qlaat	724.010471204	598.565825128
1rpzge	2.4545454546	2.3105936413		1o74td	238.737254902	274.154896793
1rgql0	2.4615384615	1.4995068223		1pcg2y	127.340277778	275.195162142
1rqj30	2.4666666667	2.6297443898		18dpl4	267.04040404	303.456482467
1i04cu	2.5	0.5		1riuh6	328.322981366	411.760334056
1jwlev	2.5	0.5		15sy0r	84.2068429238	246.063020572
1m62ad	2.5	0.5		1nvv0c	251.844512195	312.03439983
1qraab	2.5	0.5		16g04i	199.198924731	503.834719513
1r6pmw	2.5	1.5		11m8lu	361.111111111	382.339962486
1rh2l6	2.5	1.5		1692on	194.296442688	302.272700784
1rhtb7	2.5	1.5		1qtp2o	209.201438849	382.352452943
1riet0	2.5	0.5		1ir7tr	755.252427184	884.239152056
1rj2pw	2.5	2.3979157617		18h2mg	203.917562724	287.887604412
1rlfxm	2.5	1.5		1nj4si	190.290909091	201.868154337
1rnhwj	2.5	1.5		1594pw	110.049808429	232.034978474
1rnpru	2.5	1.5		1rn6ow	370.217128028	662.710812904
9clji	2.5	1.5		1f7t4z	null	null
y6bgb	2.5	1.8708286934		1rhwme	355.908346972	751.193410435
1rqa3v	2.5333333333	2.3907228103		1rhww1	355.908346972	751.193410435
1rmi5h	2.5714285714	3.0639443699		u8qil	145.051546392	228.988514146
